"group","trial_name","trial_type","video_name","trialID","feedback","target","distractor1","distractor2","distractor3"
2,"Type2comp_trial6","Type2comp","FuncComp_counterfeed_3_right.mp4",20,NA,"unsmashed_left_3.jpg","smashed_left_3.jpg","unsmashed_right_3.jpg","smashed_right_3.jpg"
2,"Type3comp_trial1","Type3comp","FuncComp_bleed_1_left.mp4",21,NA,"unsmashed_right_1.jpg","smashed_right_1.jpg","unsmashed_left_1.jpg","smashed_left_1.jpg"
2,"Type3comp_trial2","Type3comp","FuncComp_bleed_1_right.mp4",22,NA,"unsmashed_left_1.jpg","smashed_left_1.jpg","unsmashed_right_1.jpg","smashed_right_1.jpg"
2,"Type3comp_trial3","Type3comp","FuncComp_bleed_2_left.mp4",23,NA,"unsmashed_right_2.jpg","smashed_right_2.jpg","unsmashed_left_2.jpg","smashed_left_2.jpg"
2,"Type3comp_trial4","Type3comp","FuncComp_bleed_2_right.mp4",24,NA,"unsmashed_left_2.jpg","smashed_left_2.jpg","unsmashed_right_2.jpg","smashed_right_2.jpg"
2,"Type3comp_trial5","Type3comp","FuncComp_bleed_3_left.mp4",25,NA,"unsmashed_right_3.jpg","smashed_right_3.jpg","unsmashed_left_3.jpg","smashed_left_3.jpg"
2,"Type3comp_trial6","Type3comp","FuncComp_bleed_3_right.mp4",26,NA,"unsmashed_left_3.jpg","smashed_left_3.jpg","unsmashed_right_3.jpg","smashed_right_3.jpg"
2,"Type4comp_trial1","Type4comp","FuncComp_counterbleed_1_left.mp4",27,NA,"smashed_right_1.jpg","unsmashed_right_1.jpg","smashed_left_1.jpg","unsmashed_left_1.jpg"
2,"Type4comp_trial2","Type4comp","FuncComp_counterbleed_1_right.mp4",28,NA,"smashed_left_1.jpg","unsmashed_left_1.jpg","smashed_right_1.jpg","unsmashed_right_1.jpg"
2,"Type4comp_trial3","Type4comp","FuncComp_counterbleed_2_left.mp4",29,NA,"smashed_right_2.jpg","unsmashed_right_2.jpg","smashed_left_2.jpg","unsmashed_left_2.jpg"
2,"Type4comp_trial4","Type4comp","FuncComp_counterbleed_2_right.mp4",30,NA,"smashed_left_2.jpg","unsmashed_left_2.jpg","smashed_right_2.jpg","unsmashed_right_2.jpg"
2,"Type4comp_trial5","Type4comp","FuncComp_counterbleed_3_left.mp4",31,NA,"smashed_right_3.jpg","unsmashed_right_3.jpg","smashed_left_3.jpg","unsmashed_left_3.jpg"
2,"Type4comp_trial6","Type4comp","FuncComp_counterbleed_3_right.mp4",32,NA,"smashed_left_3.jpg","unsmashed_left_3.jpg","smashed_right_3.jpg","unsmashed_right_3.jpg"
3,"Type1comp_trial1","Type1comp","FuncComp_feed_1_left.mp4",9,NA,"smashed_right_1.jpg","unsmashed_right_1.jpg","smashed_left_1.jpg","unsmashed_left_1.jpg"
3,"Type1comp_trial2","Type1comp","FuncComp_feed_1_right.mp4",10,NA,"smashed_left_1.jpg","unsmashed_left_1.jpg","smashed_right_1.jpg","unsmashed_right_1.jpg"
3,"Type1comp_trial3","Type1comp","FuncComp_feed_2_left.mp4",11,NA,"smashed_right_2.jpg","unsmashed_right_2.jpg","smashed_left_2.jpg","unsmashed_left_2.jpg"
3,"Type1comp_trial4","Type1comp","FuncComp_feed_2_right.mp4",12,NA,"smashed_left_2.jpg","unsmashed_left_2.jpg","smashed_right_2.jpg","unsmashed_right_2.jpg"
3,"Type1comp_trial5","Type1comp","FuncComp_feed_3_left.mp4",13,NA,"smashed_right_3.jpg","unsmashed_right_3.jpg","smashed_left_3.jpg","unsmashed_left_3.jpg"
3,"Type1comp_trial6","Type1comp","FuncComp_feed_3_right.mp4",14,NA,"smashed_left_3.jpg","unsmashed_left_3.jpg","smashed_right_3.jpg","unsmashed_right_3.jpg"
3,"Type2comp_trial1","Type2comp","FuncComp_counterfeed_1_left.mp4",15,NA,"unsmashed_right_1.jpg","smashed_right_1.jpg","unsmashed_left_1.jpg","smashed_left_1.jpg"
3,"Type2comp_trial2","Type2comp","FuncComp_counterfeed_1_right.mp4",16,NA,"unsmashed_left_1.jpg","smashed_left_1.jpg","unsmashed_right_1.jpg","smashed_right_1.jpg"
3,"Type2comp_trial3","Type2comp","FuncComp_counterfeed_2_left.mp4",17,NA,"unsmashed_right_2.jpg","smashed_right_2.jpg","unsmashed_left_2.jpg","smashed_left_2.jpg"
3,"Type2comp_trial4","Type2comp","FuncComp_counterfeed_2_right.mp4",18,NA,"unsmashed_left_2.jpg","smashed_left_2.jpg","unsmashed_right_2.jpg","smashed_right_2.jpg"
3,"Type2comp_trial5","Type2comp","FuncComp_counterfeed_3_left.mp4",19,NA,"unsmashed_right_3.jpg","smashed_right_3.jpg","unsmashed_left_3.jpg","smashed_left_3.jpg"
3,"Type2comp_trial6","Type2comp","FuncComp_counterfeed_3_right.mp4",20,NA,"unsmashed_left_3.jpg","smashed_left_3.jpg","unsmashed_right_3.jpg","smashed_right_3.jpg"
3,"Type3comp_trial1","Type3comp","FuncComp_bleed_1_left.mp4",21,NA,"unsmashed_right_1.jpg","smashed_right_1.jpg","unsmashed_left_1.jpg","smashed_left_1.jpg"
3,"Type3comp_trial2","Type3comp","FuncComp_bleed_1_right.mp4",22,NA,"unsmashed_left_1.jpg","smashed_left_1.jpg","unsmashed_right_1.jpg","smashed_right_1.jpg"
3,"Type3comp_trial3","Type3comp","FuncComp_bleed_2_left.mp4",23,NA,"unsmashed_right_2.jpg","smashed_right_2.jpg","unsmashed_left_2.jpg","smashed_left_2.jpg"
3,"Type3comp_trial4","Type3comp","FuncComp_bleed_2_right.mp4",24,NA,"unsmashed_left_2.jpg","smashed_left_2.jpg","unsmashed_right_2.jpg","smashed_right_2.jpg"
3,"Type3comp_trial5","Type3comp","FuncComp_bleed_3_left.mp4",25,NA,"unsmashed_right_3.jpg","smashed_right_3.jpg","unsmashed_left_3.jpg","smashed_left_3.jpg"
3,"Type3comp_trial6","Type3comp","FuncComp_bleed_3_right.mp4",26,NA,"unsmashed_left_3.jpg","smashed_left_3.jpg","unsmashed_right_3.jpg","smashed_right_3.jpg"
3,"Type4comp_trial1","Type4comp","FuncComp_counterbleed_1_left.mp4",27,NA,"smashed_right_1.jpg","unsmashed_right_1.jpg","smashed_left_1.jpg","unsmashed_left_1.jpg"
3,"Type4comp_trial2","Type4comp","FuncComp_counterbleed_1_right.mp4",28,NA,"smashed_left_1.jpg","unsmashed_left_1.jpg","smashed_right_1.jpg","unsmashed_right_1.jpg"
3,"Type4comp_trial3","Type4comp","FuncComp_counterbleed_2_left.mp4",29,NA,"smashed_right_2.jpg","unsmashed_right_2.jpg","smashed_left_2.jpg","unsmashed_left_2.jpg"
3,"Type4comp_trial4","Type4comp","FuncComp_counterbleed_2_right.mp4",30,NA,"smashed_left_2.jpg","unsmashed_left_2.jpg","smashed_right_2.jpg","unsmashed_right_2.jpg"
3,"Type4comp_trial5","Type4comp","FuncComp_counterbleed_3_left.mp4",31,NA,"smashed_right_3.jpg","unsmashed_right_3.jpg","smashed_left_3.jpg","unsmashed_left_3.jpg"
3,"Type4comp_trial6","Type4comp","FuncComp_counterbleed_3_right.mp4",32,NA,"smashed_left_3.jpg","unsmashed_left_3.jpg","smashed_right_3.jpg","unsmashed_right_3.jpg"
4,"Type1comp_trial1","Type1comp","FuncComp_feed_1_left.mp4",9,NA,"smashed_right_1.jpg","unsmashed_right_1.jpg","smashed_left_1.jpg","unsmashed_left_1.jpg"
4,"Type1comp_trial2","Type1comp","FuncComp_feed_1_right.mp4",10,NA,"smashed_left_1.jpg","unsmashed_left_1.jpg","smashed_right_1.jpg","unsmashed_right_1.jpg"
4,"Type1comp_trial3","Type1comp","FuncComp_feed_2_left.mp4",11,NA,"smashed_right_2.jpg","unsmashed_right_2.jpg","smashed_left_2.jpg","unsmashed_left_2.jpg"
4,"Type1comp_trial4","Type1comp","FuncComp_feed_2_right.mp4",12,NA,"smashed_left_2.jpg","unsmashed_left_2.jpg","smashed_right_2.jpg","unsmashed_right_2.jpg"
4,"Type1comp_trial5","Type1comp","FuncComp_feed_3_left.mp4",13,NA,"smashed_right_3.jpg","unsmashed_right_3.jpg","smashed_left_3.jpg","unsmashed_left_3.jpg"
4,"Type1comp_trial6","Type1comp","FuncComp_feed_3_right.mp4",14,NA,"smashed_left_3.jpg","unsmashed_left_3.jpg","smashed_right_3.jpg","unsmashed_right_3.jpg"
4,"Type2comp_trial1","Type2comp","FuncComp_counterfeed_1_left.mp4",15,NA,"unsmashed_right_1.jpg","smashed_right_1.jpg","unsmashed_left_1.jpg","smashed_left_1.jpg"
4,"Type2comp_trial2","Type2comp","FuncComp_counterfeed_1_right.mp4",16,NA,"unsmashed_left_1.jpg","smashed_left_1.jpg","unsmashed_right_1.jpg","smashed_right_1.jpg"
4,"Type2comp_trial3","Type2comp","FuncComp_counterfeed_2_left.mp4",17,NA,"unsmashed_right_2.jpg","smashed_right_2.jpg","unsmashed_left_2.jpg","smashed_left_2.jpg"
4,"Type2comp_trial4","Type2comp","FuncComp_counterfeed_2_right.mp4",18,NA,"unsmashed_left_2.jpg","smashed_left_2.jpg","unsmashed_right_2.jpg","smashed_right_2.jpg"
4,"Type2comp_trial5","Type2comp","FuncComp_counterfeed_3_left.mp4",19,NA,"unsmashed_right_3.jpg","smashed_right_3.jpg","unsmashed_left_3.jpg","smashed_left_3.jpg"
4,"Type2comp_trial6","Type2comp","FuncComp_counterfeed_3_right.mp4",20,NA,"unsmashed_left_3.jpg","smashed_left_3.jpg","unsmashed_right_3.jpg","smashed_right_3.jpg"
